LA code,Local Authority,Year,Frequency,Walking_%,Cycling_%
E09000026,Redbridge,2010/11,3x per week,26,3
E09000027,Richmond upon Thames,2010/11,3x per week,33,9
E09000028,Southwark,2010/11,3x per week,28,11
E09000029,Sutton,2010/11,3x per week,26,4
E09000030,Tower Hamlets,2010/11,3x per week,26,7
E09000031,Waltham Forest,2010/11,3x per week,22,3
E09000032,Wandsworth,2010/11,3x per week,32,9
E09000033,Westminster,2010/11,3x per week,32,7
E12000001,North East,2010/11,3x per week,28,3
E12000002,North West,2010/11,3x per week,29,4
E12000003,Yorkshire and the Humber,2010/11,3x per week,30,4
E12000004,East Midlands,2010/11,3x per week,28,4
E12000005,West Midlands,2010/11,3x per week,28,3
E12000006,East of England,2010/11,3x per week,28,6
E12000007,London,2010/11,3x per week,27,5
E12000008,South East,2010/11,3x per week,29,5
E12000009,South West,2010/11,3x per week,31,5
E92000001,ENGLAND,2010/11,3x per week,29,4
E09000001,City of London,2010/11,5x per week,31,18
E09000002,Barking and Dagenham,2010/11,5x per week,21,1
E09000003,Barnet,2010/11,5x per week,19,1
E09000004,Bexley,2010/11,5x per week,21,2
E09000005,Brent,2010/11,5x per week,15,2
E09000006,Bromley,2010/11,5x per week,22,1
E09000007,Camden,2010/11,5x per week,28,5
E09000008,Croydon,2010/11,5x per week,20,3
E09000009,Ealing,2010/11,5x per week,14,3
E09000010,Enfield,2010/11,5x per week,23,2
E09000011,Greenwich,2010/11,5x per week,22,2
E09000012,Hackney,2010/11,5x per week,23,8
E09000013,Hammersmith and Fulham,2010/11,5x per week,27,7
E09000014,Haringey,2010/11,5x per week,19,3
E09000015,Harrow,2010/11,5x per week,14,2
E09000016,Havering,2010/11,5x per week,19,1
E09000017,Hillingdon,2010/11,5x per week,18,1
E09000018,Hounslow,2010/11,5x per week,18,4
E09000019,Islington,2010/11,5x per week,24,3
E09000020,Kensington and Chelsea,2010/11,5x per week,23,4
E09000021,Kingston upon Thames,2010/11,5x per week,18,2
E09000022,Lambeth,2010/11,5x per week,19,7
E09000023,Lewisham,2010/11,5x per week,25,4
E09000024,Merton,2010/11,5x per week,17,4
E09000025,Newham,2010/11,5x per week,21,3
E09000026,Redbridge,2010/11,5x per week,17,2
E09000027,Richmond upon Thames,2010/11,5x per week,24,6
E09000028,Southwark,2010/11,5x per week,19,6
E09000029,Sutton,2010/11,5x per week,19,4
E09000030,Tower Hamlets,2010/11,5x per week,20,5
E09000031,Waltham Forest,2010/11,5x per week,16,2
E09000032,Wandsworth,2010/11,5x per week,23,6
E09000033,Westminster,2010/11,5x per week,25,5
E12000001,North East,2010/11,5x per week,21,2
E12000002,North West,2010/11,5x per week,21,2
